Old build artifact,AndroidX build artifact
android.arch.core:common,androidx.arch.core:core-common:2.0.0-rc01
android.arch.core:core,androidx.arch.core:core:2.0.0-rc01
android.arch.core:core-testing,androidx.arch.core:core-testing:2.0.0-rc01
android.arch.core:runtime,androidx.arch.core:core-runtime:2.0.0-rc01
android.arch.lifecycle:common,androidx.lifecycle:lifecycle-common:2.0.0-rc01
android.arch.lifecycle:common-java8,androidx.lifecycle:lifecycle-common-java8:2.0.0-rc01
android.arch.lifecycle:compiler,androidx.lifecycle:lifecycle-compiler:2.0.0-rc01
android.arch.lifecycle:extensions,androidx.lifecycle:lifecycle-extensions:2.0.0-rc01
android.arch.lifecycle:livedata,androidx.lifecycle:lifecycle-livedata:2.0.0-rc01
android.arch.lifecycle:livedata-core,androidx.lifecycle:lifecycle-livedata-core:2.0.0-rc01
android.arch.lifecycle:reactivestreams,androidx.lifecycle:lifecycle-reactivestreams:2.0.0-rc01
android.arch.lifecycle:runtime,androidx.lifecycle:lifecycle-runtime:2.0.0-rc01
android.arch.lifecycle:viewmodel,androidx.lifecycle:lifecycle-viewmodel:2.0.0-rc01
android.arch.paging:common,androidx.paging:paging-common:2.0.0-rc01
android.arch.paging:runtime,androidx.paging:paging-runtime:2.0.0-rc01
android.arch.paging:rxjava2,androidx.paging:paging-rxjava2:2.0.0-rc01
android.arch.persistence.room:common,androidx.room:room-common:2.0.0-rc01
android.arch.persistence.room:compiler,androidx.room:room-compiler:2.0.0-rc01
android.arch.persistence.room:guava,androidx.room:room-guava:2.0.0-rc01
android.arch.persistence.room:migration,androidx.room:room-migration:2.0.0-rc01
android.arch.persistence.room:runtime,androidx.room:room-runtime:2.0.0-rc01
android.arch.persistence.room:rxjava2,androidx.room:room-rxjava2:2.0.0-rc01
android.arch.persistence.room:testing,androidx.room:room-testing:2.0.0-rc01
android.arch.persistence:db,androidx.sqlite:sqlite:2.0.0-rc01
android.arch.persistence:db-framework,androidx.sqlite:sqlite-framework:2.0.0-rc01
com.android.support.constraint:constraint-layout,androidx.constraintlayout:constraintlayout:1.1.2
com.android.support.constraint:constraint-layout-solver,androidx.constraintlayout:constraintlayout-solver:1.1.2
com.android.support.test.espresso.idling:idling-concurrent,androidx.test.espresso.idling:idling-concurrent:3.1.0
com.android.support.test.espresso.idling:idling-net,androidx.test.espresso.idling:idling-net:3.1.0
com.android.support.test.espresso:espresso-accessibility,androidx.test.espresso:espresso-accessibility:3.1.0
com.android.support.test.espresso:espresso-contrib,androidx.test.espresso:espresso-contrib:3.1.0
com.android.support.test.espresso:espresso-core,androidx.test.espresso:espresso-core:3.1.0
com.android.support.test.espresso:espresso-idling-resource,androidx.test.espresso:espresso-idling-resource:3.1.0
com.android.support.test.espresso:espresso-intents,androidx.test.espresso:espresso-intents:3.1.0
com.android.support.test.espresso:espresso-remote,androidx.test.espresso:espresso-remote:3.1.0
com.android.support.test.espresso:espresso-web,androidx.test.espresso:espresso-web:3.1.0
com.android.support.test.janktesthelper:janktesthelper,androidx.test.jank:janktesthelper:1.0.1
com.android.support.test.services:test-services,androidx.test:test-services:1.1.0
com.android.support.test.uiautomator:uiautomator,androidx.test.uiautomator:uiautomator:2.2.0
com.android.support.test:monitor,androidx.test:monitor:1.1.0
com.android.support.test:orchestrator,androidx.test:orchestrator:1.1.0
com.android.support.test:rules,androidx.test:rules:1.1.0
com.android.support.test:runner,androidx.test:runner:1.1.0
com.android.support:animated-vector-drawable,androidx.vectordrawable:vectordrawable-animated:1.0.0
com.android.support:appcompat-v7,androidx.appcompat:appcompat:1.0.0
com.android.support:asynclayoutinflater,androidx.asynclayoutinflater:asynclayoutinflater:1.0.0
com.android.support:car,androidx.car:car:1.0.0-alpha5
com.android.support:cardview-v7,androidx.cardview:cardview:1.0.0
com.android.support:collections,androidx.collection:collection:1.0.0
com.android.support:coordinatorlayout,androidx.coordinatorlayout:coordinatorlayout:1.0.0
com.android.support:cursoradapter,androidx.cursoradapter:cursoradapter:1.0.0
com.android.support:customtabs,androidx.browser:browser:1.0.0
com.android.support:customview,androidx.customview:customview:1.0.0
